Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#2502,sebastian.brown169@test-mail.com,paid,2023-01-14 14:57:18 -0500,fulfilled,2023-01-15 14:57:18 -0500,yes,USD,43.50,0.00,2.61,46.11,,0.00,Economy,2023-01-14 14:57:18 -0500,1,Product B - Variant 1,12.00,,PRODB-V1,true,true,fulfilled,Sebastian Brown,7464 Elm St,7464 Elm St,,,Los Angeles,65444,CA,US,+19286805016,Sebastian Brown,7464 Elm St,7464 Elm St,,,Los Angeles,65444,CA,US,+19286805016,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002502,,Low,web,0.00,,,,,,,,,,,+19286805016,,,California,California,,,,
#2502,,,,,,,,,,,,,,,,1,Product A - Variant 3,29.00,,PRODA-V3,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002502,,,,0.00,,,,,,,,,,,,,,,,,,,
#2502,,,,,,,,,,,,,,,,1,Package Protection - $2.50,2.50,,PP-2,false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Package Protection Vendor,,,,,7000000002502,,,,0.00,,,,,,,,,,,,,,,,,,,
#2505,ethan.hernandez246@example.net,paid,2023-01-31 04:00:22 -0500,fulfilled,2023-02-01 04:00:22 -0500,yes,USD,41.00,0.00,2.46,43.46,,0.00,Priority Mail,2023-01-31 04:00:22 -0500,1,Product B - Variant 1,12.00,,PRODB-V1,true,true,fulfilled,Ethan Hernandez,6703 Hillcrest Ave,6703 Hillcrest Ave,,,Austin,87832,TX,US,+14018258729,Ethan Hernandez,6703 Hillcrest Ave,6703 Hillcrest Ave,,,Austin,87832,TX,US,+14018258729,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002505,,Low,web,0.00,,,,,,,,,,,+14018258729,,,Texas,Texas,,,,
#2505,,,,,,,,,,,,,,,,1,Product A - Variant 1,29.00,,PRODA-V1,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002505,,,,0.00,,,,,,,,,,,,,,,,,,,
#2509,owen.martinez446@example.net,paid,2023-02-07 22:23:13 -0500,fulfilled,2023-02-08 22:23:13 -0500,no,USD,29.00,4.96,1.57,32.63,WELCOME10,2.90,Economy,2023-02-07 22:23:13 -0500,1,Product A - Variant 2,29.00,,PRODA-V2,true,true,fulfilled,Owen Martinez,4435 Park Ave,4435 Park Ave,,,Chicago,80539,IL,US,+15327059683,Owen Martinez,4435 Park Ave,4435 Park Ave,,,Chicago,80539,IL,US,+15327059683,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002509,,Low,web,0.00,,,,,,,,,,,+15327059683,,,Illinois,Illinois,,,,
#2510,grace.moore771@test-mail.com,paid,2023-02-12 09:31:07 -0500,fulfilled,2023-02-13 09:31:07 -0500,yes,USD,20.50,0.00,1.12,19.82,PROMO2023,1.80,Standard,2023-02-12 09:31:07 -0500,1,Product E,18.00,,PRODE-01,true,true,fulfilled,Grace Moore,327 Birch Way,327 Birch Way,,,Brooklyn,80702,NY,US,+16518673249,Grace Moore,327 Birch Way,327 Birch Way,,,Brooklyn,80702,NY,US,+16518673249,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002510,,Low,web,0.00,,,,,,,,,,,+16518673249,,,New York,New York,,,,
#2510,,,,,,,,,,,,,,,,1,Package Protection - $2.50,2.50,,PP-2,false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Package Protection Vendor,,,,,7000000002510,,,,0.00,,,,,,,,,,,,,,,,,,,
#2511,ethan.walker357@test-mail.com,paid,2023-02-18 23:50:58 -0500,fulfilled,2023-02-19 23:50:58 -0500,yes,USD,29.00,5.36,1.57,33.03,PROMO10,2.90,Standard,2023-02-18 23:50:58 -0500,1,Product A - Variant 3,29.00,,PRODA-V3,true,true,fulfilled,Ethan Walker,2644 Sunset Blvd,2644 Sunset Blvd,,,Buffalo,63955,NY,US,+14979305739,Ethan Walker,2644 Sunset Blvd,2644 Sunset Blvd,,,Buffalo,63955,NY,US,+14979305739,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002511,,Low,web,0.00,,,,,,,,,,,+14979305739,,,New York,New York,,,,
#2515,hazel.lopez197@example.net,paid,2023-02-25 10:15:08 -0500,fulfilled,2023-02-26 10:15:08 -0500,yes,USD,87.00,4.96,4.70,87.96,WELCOME10,8.70,Standard,2023-02-25 10:15:08 -0500,2,Product A - Variant 1,29.00,,PRODA-V1,true,true,fulfilled,Hazel Lopez,9669 Willow Ct,9669 Willow Ct,,,Chicago,78765,IL,US,+14563196714,Hazel Lopez,9669 Willow Ct,9669 Willow Ct,,,Chicago,78765,IL,US,+14563196714,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002515,,Low,web,0.00,,,,,,,,,,,+14563196714,,,Illinois,Illinois,,,,
